mode,epoch,step,train/loss
train,1,1,0.5347029943000264
train,1,2,0.3726099621588261
train,1,3,0.5337385738375082
train,1,4,0.35477265658214074
train,1,5,0.30928475168147296
train,1,6,0.506507424902984
train,1,7,0.4094028995571658
train,1,8,0.5462677618173996
train,1,9,0.43674120649392756
train,1,10,0.39502914540034073
train,1,11,0.51776364481558
train,1,12,0.4004567339590964
train,1,13,0.3903555396438516
train,1,14,0.36707230545205427
train,1,15,0.3552576516320459
train,1,16,0.4498303429620312
train,1,17,0.37204315575148517
train,1,18,0.33318253556498784
train,1,19,0.3795515565406804
train,1,20,0.3400087782228084
train,1,21,0.32093187582187327
train,1,22,0.2990265506477429
train,1,23,0.3314024852100966
train,1,24,0.3672374780382224
train,1,25,0.28448613969443093
train,1,26,0.41309277161680424
train,1,27,0.4636322490286408
train,1,28,0.3693999296733364
train,1,29,0.38198810282039686
train,1,30,0.4314835073338428
train,1,31,0.39362921093404424
train,1,32,0.3381009377169055
train,1,33,0.344361757394886
train,1,34,0.3282475429380249
train,1,35,0.3664226919149023
train,1,36,0.38156474238650545
train,1,37,0.3359844689373665
train,1,38,0.3399510992393885
train,1,39,0.3043953084866081
train,1,40,0.3709933049430245
train,1,41,0.4452886262445501
train,1,42,0.34883430142622873
train,1,43,0.39951044264854607
train,1,44,0.3127877984750529
train,1,45,0.3330781700317975
train,1,46,0.42185815432820395
train,1,47,0.33366980447749917
train,1,48,0.3536504280158072
train,1,49,0.3891134225304546
train,1,50,0.32577537849236404
train,1,51,0.45015634143582467
train,1,52,0.3449575560062746
train,1,53,0.36133698036256157
train,1,54,0.3224140589929759
train,1,55,0.3569162674398789
train,1,56,0.3071857652976925
train,1,57,0.30707359092220177
train,1,58,0.38080791378439777
train,1,59,0.4040037930711464
train,1,60,0.3125142440133657
train,1,61,0.32456790430710514
train,1,62,0.42596660330401037
train,1,63,0.3132636882021053
train,1,64,0.2648339097363475
train,1,65,0.3772043585909497
train,1,66,0.3250854654132549
train,1,67,0.27331445393221643
train,1,68,0.3822067599776689
train,1,69,0.3226573396964888
train,1,70,0.338548956514794
train,1,71,0.3083013370015991
train,1,72,0.39709206116673795
train,1,73,0.30324239947321396
train,1,74,0.3049425811872868
train,1,75,0.27488974762007135
train,1,76,0.43586735402492177
train,1,77,0.41290343353197134
train,1,78,0.356273066381442
train,1,79,0.43707804415484997
train,1,80,0.4550647232736267
train,1,81,0.3183954355383664
train,1,82,0.5149869210082305
train,1,83,0.3176900551536556
